ts,query,topK,use_semantic,max_chars,search_cache,llm_cache,search_sec,llm_sec,in_tokens,out_tokens,est_jpy,error
2025-09-14T20:01:42,RAGのキャッシュ最適化の方法を要約して,1,0,0,True,True,0.0,0.0,94,39,0.040662,
2025-09-14T20:01:42,RAGのキャッシュ最適化の方法を要約して,3,0,0,True,True,0.0,0.011,206,40,0.059529,
2025-09-14T20:01:43,RAGのキャッシュ最適化の方法を要約して,5,0,0,False,False,0.193,1.345,286,39,0.071891,
2025-09-14T20:01:44,RAGのキャッシュ最適化の方法を要約して,1,0,800,True,True,0.0,0.0,94,39,0.040662,
2025-09-14T20:01:44,RAGのキャッシュ最適化の方法を要約して,3,0,800,True,True,0.016,0.0,206,40,0.059529,
2025-09-14T20:01:44,RAGのキャッシュ最適化の方法を要約して,5,0,800,True,True,0.0,0.0,286,39,0.071891,
2025-09-14T20:01:46,topKはなぜコストに影響するのかを説明して,1,0,0,False,False,0.157,1.206,96,42,0.042939,
2025-09-14T20:01:48,topKはなぜコストに影響するのかを説明して,3,0,0,False,False,0.126,1.306,159,42,0.053186,
2025-09-14T20:01:49,topKはなぜコストに影響するのかを説明して,5,0,0,False,False,0.173,1.259,294,43,0.075794,
2025-09-14T20:01:50,topKはなぜコストに影響するのかを説明して,1,0,800,True,True,0.0,0.0,96,42,0.042939,
2025-09-14T20:01:50,topKはなぜコストに影響するのかを説明して,3,0,800,True,True,0.0,0.0,159,42,0.053186,
2025-09-14T20:01:50,topKはなぜコストに影響するのかを説明して,5,0,800,True,True,0.0,0.0,294,43,0.075794,
2025-09-14T20:01:52,Azure AI Searchのインデクサー失敗時の対処を教えて,1,0,0,False,False,0.127,1.277,98,30,0.035457,
2025-09-14T20:01:54,Azure AI Searchのインデクサー失敗時の対処を教えて,3,0,0,False,False,0.148,2.097,161,59,0.064571,
2025-09-14T20:01:57,Azure AI Searchのインデクサー失敗時の対処を教えて,5,0,0,False,False,0.131,2.746,290,194,0.173383,
2025-09-14T20:01:58,Azure AI Searchのインデクサー失敗時の対処を教えて,1,0,800,True,True,0.0,0.0,98,30,0.035457,
2025-09-14T20:01:58,Azure AI Searchのインデクサー失敗時の対処を教えて,3,0,800,True,True,0.0,0.0,161,59,0.064571,
2025-09-14T20:01:58,Azure AI Searchのインデクサー失敗時の対処を教えて,5,0,800,True,True,0.0,0.0,290,194,0.173383,
2025-09-14T20:02:00,gpt-4o-miniで入力トークンを削減するコツは？,1,0,0,False,False,0.161,1.228,118,36,0.042614,
2025-09-14T20:02:02,gpt-4o-miniで入力トークンを削減するコツは？,3,0,0,False,False,0.166,1.164,201,36,0.056114,
2025-09-14T20:02:03,gpt-4o-miniで入力トークンを削減するコツは？,5,0,0,False,False,0.137,1.19,313,36,0.074331,
2025-09-14T20:02:04,gpt-4o-miniで入力トークンを削減するコツは？,1,0,800,True,True,0.0,0.0,118,36,0.042614,
2025-09-14T20:02:04,gpt-4o-miniで入力トークンを削減するコツは？,3,0,800,True,True,0.0,0.0,201,36,0.056114,
2025-09-14T20:02:04,gpt-4o-miniで入力トークンを削減するコツは？,5,0,800,True,True,0.0,0.005,313,36,0.074331,
2025-09-14T20:02:44,RAG評価で見るべきメトリクスは？,1,0,0,False,False,0.141,38.943,92,32,0.035783,
2025-09-14T20:02:47,RAG評価で見るべきメトリクスは？,3,0,0,False,False,0.173,3.509,221,51,0.069126,
2025-09-14T20:02:49,RAG評価で見るべきメトリクスは？,5,0,0,False,False,0.109,1.211,285,32,0.067174,
2025-09-14T20:02:50,RAG評価で見るべきメトリクスは？,1,0,800,True,True,0.0,0.0,92,32,0.035783,
2025-09-14T20:02:50,RAG評価で見るべきメトリクスは？,3,0,800,True,True,0.0,0.0,221,51,0.069126,
2025-09-14T20:02:50,RAG評価で見るべきメトリクスは？,5,0,800,True,True,0.0,0.0,285,32,0.067174,
